fens,moves,score
rnbqkbnr/pppppppp/8/8/8/5N2/PPPPPPPP/RNBQKB1R b KQkq - 1 1,d7d5,-1
rnbqkbnr/ppp1pppp/8/3p4/8/5N2/PPPPPPPP/RNBQKB1R w KQkq - 0 2,g2g3,1
rnbqkbnr/ppp1pppp/8/3p4/8/5NP1/PPPPPP1P/RNBQKB1R b KQkq - 0 2,b8c6,-1
r1bqkbnr/ppp1pppp/2n5/3p4/8/5NP1/PPPPPP1P/RNBQKB1R w KQkq - 1 3,f1g2,1
r1bqkbnr/ppp1pppp/2n5/3p4/8/5NP1/PPPPPPBP/RNBQK2R b KQkq - 2 3,g8f6,-1
r1bqkb1r/ppp1pppp/2n2n2/3p4/8/5NP1/PPPPPPBP/RNBQK2R w KQkq - 3 4,h1g1,1
r1bqkb1r/ppp1pppp/2n2n2/3p4/8/5NP1/PPPPPPBP/RNBQK1R1 b Qkq - 4 4,e7e6,-1
r1bqkb1r/ppp2ppp/2n1pn2/3p4/8/5NP1/PPPPPPBP/RNBQK1R1 w Qkq - 0 5,c2c4,1
r1bqkb1r/ppp2ppp/2n1pn2/3p4/2P5/5NP1/PP1PPPBP/RNBQK1R1 b Qkq - 0 5,f8e7,-1
r1bqk2r/ppp1bppp/2n1pn2/3p4/2P5/5NP1/PP1PPPBP/RNBQK1R1 w Qkq - 1 6,h2h4,1
r1bqk2r/ppp1bppp/2n1pn2/3p4/2P4P/5NP1/PP1PPPB1/RNBQK1R1 b Qkq - 0 6,e8g8,-1
r1bq1rk1/ppp1bppp/2n1pn2/3p4/2P4P/5NP1/PP1PPPB1/RNBQK1R1 w Q - 1 7,g3g4,1
r1bq1rk1/ppp1bppp/2n1pn2/3p4/2P3PP/5N2/PP1PPPB1/RNBQK1R1 b Q - 0 7,d5c4,-1
r1bq1rk1/ppp1bppp/2n1pn2/8/2p3PP/5N2/PP1PPPB1/RNBQK1R1 w Q - 0 8,f3g5,1
r1bq1rk1/ppp1bppp/2n1pn2/6N1/2p3PP/8/PP1PPPB1/RNBQK1R1 b Q - 1 8,a7a6,-1
r1bq1rk1/1pp1bppp/p1n1pn2/6N1/2p3PP/8/PP1PPPB1/RNBQK1R1 w Q - 0 9,d2d4,1
r1bq1rk1/1pp1bppp/p1n1pn2/6N1/2pP2PP/8/PP2PPB1/RNBQK1R1 b Q d3 0 9,c8d7,-1
r2q1rk1/1ppbbppp/p1n1pn2/6N1/2pP2PP/8/PP2PPB1/RNBQK1R1 w Q - 1 10,g1h1,1
r2q1rk1/1ppbbppp/p1n1pn2/6N1/2pP2PP/8/PP2PPB1/RNBQK2R b Q - 2 10,h7h6,-1
r2q1rk1/1ppbbpp1/p1n1pn1p/6N1/2pP2PP/8/PP2PPB1/RNBQK2R w Q - 0 11,b2b4,1
r2q1rk1/1ppbbpp1/p1n1pn1p/6N1/1PpP2PP/8/P3PPB1/RNBQK2R b Q b3 0 11,h6g5,-1
r2q1rk1/1ppbbpp1/p1n1pn2/6p1/1PpP2PP/8/P3PPB1/RNBQK2R w Q - 0 12,h4g5,1
